

100 HEC-Recognized Medical Universities in Pakistan

Aga Khan University, Karachi
Prime Medical College, Peshawar
Quetta Institute of Medical Sciences, Quetta
Rawal Institute of Health Sciences, Islamabad
Sahiwal Medical College, Sahiwal
Sahara Medical College, Narowal
Shaheed Mohtarma Benazir Bhutto Medical College, Karachi
Sheikh Zayed Medical College, Lahore
Sindh Institute of Medical Sciences, Karachi
University of Faisalabad, Faisalabad
University of Lahore Medical School, Lahore
Wah Medical College, Wah Cantt
Women Medical College, Peshawar
Akhtar Saeed Medical and Dental College, Lahore
Army Medical College, Rawalpindi
Aziz Fatimah Medical and Dental College, Faisalabad
Bashir Institute of Health Sciences, Islamabad
Bhitai Medical and Dental College, Mirpurkhas
Continental Medical College, Lahore
Frontier Medical College, Abbottabad
Ghulam Muhammad Mahar Medical College, Sukkur
Indus Medical College, Tando Muhammad Khan
Isra University, Islamabad
Jinnah Medical College, Peshawar
Kabir Medical College, Peshawar
Margalla Institute of Health Sciences, Rawalpindi
North West School of Medicine, Peshawar
Rai Medical College, Sargodha
Rehman Medical Institute, Peshawar
Saidu Medical College, Swat
Shalamar Medical and Dental College, Lahore
United Medical and Dental College, Karachi
Vision Institute of Medical Sciences, Lahore
Wah College of Medicine, Wah Cantt
100 HEC-Recognized Business Universities in Pakistan
Lahore University of Management Sciences (LUMS), Lahore
Institute of Business Administration (IBA), Karachi
Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology (SZABIST), Karachi
National University of Sciences and Technology (NUST), Islamabad
Lahore School of Economics (LSE), Lahore
University of the Punjab, Lahore (IBA Department)
University of Central Punjab, Lahore
Institute of Management Sciences, Peshawar
Quaid-i-Azam University, Islamabad (School of Management)
Sukkur IBA University, Sukkur
National College of Business Administration and Economics (NCBA&E), Lahore
Bahria University, Islamabad
COMSATS Institute of Information Technology, Islamabad
University of Management and Technology (UMT), Lahore
Institute of Business and Management (IoBM), Karachi
Superior University, Lahore
Air University, Islamabad
GIFT University, Gujranwala
Riphah International University, Islamabad
University of Faisalabad, Faisalabad
University of Karachi, Karachi
Kinnaird College for Women, Lahore
Greenwich University, Karachi
Beaconhouse National University (BNU), Lahore
Iqra University, Karachi
Indus University, Karachi
Minhaj University, Lahore
Hamdard University, Karachi
University of Lahore, Lahore
Foundation University, Islamabad
Federal Urdu University of Arts, Science, and Technology, Karachi
Karachi School of Business and Leadership (KSBL), Karachi
Abasyn University, Peshawar
IQRA National University, Peshawar
The University of Sargodha, Sargodha
Preston University, Islamabad
Gomal University, D.I. Khan
Muhammad Ali Jinnah University, Karachi
FAST-NUCES, Islamabad
The Islamia University of Bahawalpur
University of South Asia, Lahore
Dadabhoy Institute of Higher Education, Karachi
University of Gujrat, Gujrat
Fatima Jinnah Women University, Rawalpindi
Hajvery University, Lahore
Shaheed Benazir Bhutto University, Karachi
University of Peshawar, Peshawar
The University of Haripur, Haripur
Jinnah University for Women, Karachi
Capital University of Science and Technology (CUST), Islamabad
Sindh Madressatul Islam University, Karachi
University of Azad Jammu and Kashmir, Muzaffarabad
Balochistan University of Information Technology, Engineering and Management Sciences (BUITEMS), Quetta
Virtual University of Pakistan
University of Malakand, Chakdara
Karakoram International University, Gilgit
University of Turbat, Turbat
Quaid-e-Awam University of Engineering, Science and Technology, Nawabshah
Mirpur University of Science and Technology (MUST), Mirpur AJK
Government College University, Faisalabad
Government College University, Lahore
University of Wah, Wah Cantt
University of Swabi, Swabi
Bacha Khan University, Charsadda
Abdul Wali Khan University, Mardan
University of Narowal, Narowal
Benazir Bhutto Shaheed University, Karachi
Shaheed Benazir Bhutto University of Veterinary and Animal Sciences, Sakrand
The Women University Multan
Khwaja Fareed University of Engineering and Information Technology, Rahim Yar Khan
University of Engineering and Technology (UET), Taxila (Business Faculty)
Institute of Southern Punjab, Multan
COMMECS Institute of Business & Emerging Sciences, Karachi
Shaheed Benazir Bhutto Women University, Peshawar
Lahore Leads University, Lahore
The National College of Business Administration & Economics, Lahore
Pakistan Institute of Development Economics (PIDE), Islamabad
University of Swat, Swat
University of the Punjab Gujranwala Campus, Gujranwala
Sir Syed University of Engineering and Technology (Business School), Karachi
University of Science and Technology, Bannu
University of Sindh, Jamshoro (IBA)
Indus Valley School of Art and Architecture (Business Dept), Karachi
Benazir Bhutto Shaheed University Lyari, Karachi
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (Business Dept), Topi
DHA Suffa University, Karachi
Shifa Tameer-e-Millat University (Business Faculty), Islamabad
Pakistan Institute of Management, Karachi
Ziauddin University (Business Faculty), Karachi
Khadim Ali Shah Bukhari Institute of Technology, Karachi
Forman Christian College University, Lahore (Business School)
Superior University, Lahore
Habib University, Karachi
National Defence University (NDU), Islamabad
Institute of Business Management (IoBM), Karachi
Army Public College of Management Sciences (APCOMS), Rawalpindi
Textile Institute of Pakistan (Business Faculty), Karachi
Peoples University of Medical & Health Sciences for Women (Business Dept), Nawabshah
Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology (SZABIST), Islamabad
Institute of Space Technology (Business Dept), Islamabad
